test_ename,test_cname,specimen,reference_range,detail_link
Albumin/Globulin Ratio(Alb/Glo),白蛋白/球蛋白比值,血清(Serum),"Globulin：1.8~4.0 g/dL
Albumin/Globulin Ratio(Alb/Glo)：1~2.8",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=374&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ALP,鹼性磷酸酵素,血清(Serum),"34 ~ 104 U/L
(2012/01/02 起變更，舊參考值為 60~220 U/L)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=375&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ALP(STAT),鹼性磷酸酵素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=469&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Alpha-1-antitrypsin,Alpha1胰蛋白脢抑制脢定量,血清(Serum),84~218 mg/dL (2013/11/13變更，舊參考值為 97 - 161 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=376&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Alpha-FetoProtein(AFP),Alpha胎兒蛋白,血清(Serum),< 20 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=423&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ALT(GPT),丙胺酸轉胺酵素,血清(Serum),0~41 U/L (2013/11/13變更，舊參考值為♂：< 41 U/L；♀：< 31 U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=377&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
ALT(GPT)(STAT),丙胺酸轉胺酵素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=470&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aluminum(Al),鋁,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=259&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amikacin,血中抗生素Amikacin藥物濃度,血清(Serum),"有效治療濃度範圍：
peak：20~30 µg/mL
trough：
",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=207&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ammonia(STAT),氨,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=543&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amylase,澱粉酵素,血清(Serum),29~103 U/L(2012/01/02起變更，舊參考值:< 220 U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=378&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amylase(STAT),澱粉酵素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=471&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HAV IgG,抗A型肝炎IgG抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=424&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HAV IgM,抗A型肝炎IgM抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=425&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HBc,抗B型肝炎核心抗原抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=426&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HBc IgM,抗B型肝炎核心抗原IgM抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=427&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HBc(STAT),抗B型肝炎核心抗原抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=472&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-Hbe,抗B型肝炎e抗原抗體,血清(Serum),"判讀標準：
Negative：＞1.0；
Positive：≦1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=428&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HBs,抗B型肝炎表面抗原抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=429&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HBs(STAT),抗B型肝炎表面抗原抗體,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=473&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HCV,抗C型肝炎抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=430&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-HCV(STAT),抗C型肝炎抗體,血清(Serum),"判讀標準：
Negative：＜1.0；
Positive：≧1.0",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=474&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-Thyroglobulin antibody(Anti-Tg),抗甲狀腺球蛋白抗體,血清(Serum),< 14.4 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=431&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anti-TPO,甲狀腺過氧化酶抗體,血清(Serum),<5.61 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=432&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Apo A1,Apo脂蛋白A1,血清(Serum),100~200 mg/dL(2016/02/04變更，舊參考區間為122~161 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=379&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Apo B,Apo脂蛋白B,血清(Serum),50~155 mg/dL(2016/02/04變更，舊參考區間為69~105 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=380&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
AST(GOT),天門冬胺酸轉胺酵素,血清(Serum),8~31 U/L (2013/11/13變更，舊參考值為♂：< 37 U/L；♀：< 31 U/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=381&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
AST(GOT)(STAT),天門冬胺酸轉胺酵素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=475&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Beta-HCG,絨毛膜促性腺激素-乙亞單體,血清(Serum),"♂：< 2.5 mIU/mL
♀(non-pregnant)：< 5.3 mIU/mL
(2013/11/13變更，舊參考值不分男女 < 6.15 mIU/mL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=208&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Beta-HCG(STAT),絨毛膜促性腺激素-乙亞單體,血清(Serum),"♂：< 2.5 mIU/mL
♀(non-pregnant)：< 5.3 mIU/mL
(2013/11/13變更，舊參考值不分男女 < 6.15 mIU/mL)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=476&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bilirubin-D,直接型膽色素,血清(Serum),0.03~0.18 mg/dL(2013/11/13變更，舊參考值為 0.0 ~ 0.4 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=382&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bilirubin-D(STAT),直接膽紅素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=477&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bilirubin-T,總膽色素,血清(Serum),0.3~1.0 mg/dL (2013/11/13變更，舊參考值為 0.2 ~ 1.2 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=383&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Bilirubin-T(STAT),總膽紅素,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=478&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Blood gas(STAT),動(靜)脈血氣體分析,全血(Whole Blood),"動脈：
PH：7.35 ~ 7.45
pO
2
：83 ~ 108 mmHg
pCO
2
：35 ~ 45 mmHg
HCO
3
：21 ~ 28 mmol/L
Base Excess：-2 ~ +3 mmol/L
靜脈：
PH：7.32 ~ 7.41
pO2：35 ~ 40 mmHg
pCO2：42 ~ 52 mmHg
HCO3：24 ~ 28 mmol/L
Base Excess：-2 ~ +2 mmol/L",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=198&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Blood Ketone(STAT),血中酮體測定,全血(Heparin Whole Blood),<0.6 mmol/L,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=544&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CA-125,癌症抗原125,血清(Serum),< 35 U/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=433&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CA15-3,癌症抗原15-3,血清(Serum),< 31 U/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=434&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CA19-9,癌症抗原19-9,血清(Serum),< 37 U/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=435&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Calcitonin,抑鈣素,血清(Serum),"♂：< 18.2 pg/mL
♀：< 11.5 pg/mL",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=209&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Calcium, Ca",鈣,血清(Serum),2.15~2.58 mmol/L (2013/11/13變更，舊參考值為 2.02~ 2.6 mmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=384&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Calcium, Ca(STAT)",鈣,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=480&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Calcium, Ca(Urine)",鈣(尿液),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=515&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Carbamazepine,血中抗癲癇藥物Carbamazepine濃度,血清(Serum),有效治療濃度範圍：4.0 ~ 12 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=210&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Carbamazepine(STAT),血中抗癲癇藥物Carbamazepine濃度,血清(Serum),有效治療濃度範圍：4.0 ~ 12 µg/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=243&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Carboxyhemoglobin(STAT),一氧化碳血紅素,血液(Blood),0 ~ 1.5 %,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=199&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Catecholamines (Urine),兒茶酚胺(尿),二十四小時尿液(24hrs Urine)/十二小時尿液(12hrs Urine),"Epinephrine：<22.4 µg/24h
Norepinephrine：12.1~85.5 µg/24h
Dopamine：50~450 µg/24h",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=190&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CEA,癌胚胎抗原,血清(Serum),< 5 ng/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=436&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ceruloplasmin,血清銅藍蛋白,血清(Serum),18~58 mg/dL (2013/11/13變更，舊參考值為 20 - 60 mg/dL),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=385&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Chloride, Cl",氯,血清(Serum),98~107 mmol/L (2013/11/13變更，舊參考值為 98 - 108 mmol/L),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=386&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Chloride, Cl (STAT)",氯,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=481&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Chloride, Cl (Urine)",氯(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=516&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Chloride, Cl (Urine)(STAT)",氯(尿),尿液(Urine),不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=529&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Cholesterol, Total (T-CHO)",總膽固醇,血清(Serum),<200 mg/dL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=387&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Cholesterol, Total(STAT)",總膽固醇,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=482&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
CK-MB(STAT),肌酸磷酸脢-MB亞型,血漿(Heparin Plasma),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=483&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Copper (Cu),銅,血清(Serum); 二十四小時尿液(24hrs Urine),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=134&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cortisol,皮質醇,血清(Serum),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=388&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
