test_ename,test_cname,specimen,reference_range,detail_link
EBNA IgG Ab,免疫球蛋白G型抗艾伯斯丁巴爾病毒核抗原抗體,血清(Serum),判讀標準：Negative：< 18.0 Equivocal：18.0-21.9 Positive：≧22.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=450&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV EA & EBNA1 IgA Ab,免疫球蛋白A型抗艾伯斯丁巴爾病毒核及早期抗原抗體,血清(Serum),判讀標準：Negative：< 8.0Equivocal：7.9-8.7Positive：≧8.8,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=451&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV Viral Load,艾伯斯丁巴爾(Epstin-Barr)病毒定量,血漿(EDTA Plasma),UndetectableDetcection limit：40-108 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=94&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV-EA IgA Ab,免疫球蛋白A型抗艾伯斯丁巴爾病毒早期抗原抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=452&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV-EA IgG Ab,免疫球蛋白G型抗艾伯斯丁巴爾病毒早期抗原抗體,血清(Serum),判讀標準：Negative：< 9.0Equivocal：9.0-10.9Positive：≧11.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=453&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV-VCA IgA Ab,免疫球蛋白A型抗艾伯斯丁巴爾病毒外鞘抗原抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=454&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV-VCA IgG Ab,免疫球蛋白G型抗艾伯斯丁巴爾病毒外鞘抗原抗體,血清(Serum),判讀標準：Negative：< 18.0Equivocal：18.0-21.9Positive：≧22.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=455&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EBV-VCA IgM Ab,免疫球蛋白M型抗艾伯斯丁巴爾病毒外鞘抗原抗體,血清(Serum),判讀標準：Negative：< 36.0Equivocal：36.0-43.9Positive：≧44.0,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=456&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Enterovirus 71 IgM Rapid Test,腸病毒71型IgM抗體快速檢測,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=446&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Enterovirus 71 RNA PCR(qualitative test),腸病毒71型核糖核酸定性試驗,喉頭拭子(Throat swab) /直腸拭子(Rectal swab)、腦脊髓液(CSF),None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=255&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HBV Viral Load,人類B型肝炎病毒定量,血漿(EDTA Plasma),UndetectableDetcection limit：20 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=91&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HCV Genotyping Test,C型肝炎病毒核酸基因試驗,血清(Serum),​不適用(N/A),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=603&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HCV Viral Load,人類C型肝炎病毒定量,血漿(EDTA Plasma),Undetectable Detcection limit：15 IU/mL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=92&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Herpes-Simplex Virus 1 IgG Ab,免疫球蛋白G型抗第I型單純疱疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=457&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Herpes-Simplex Virus 2 IgG Ab,免疫球蛋白G型抗第II型單純疱疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=458&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Herpes-Simplex Virus1/2 IgM Ab,免疫球蛋白M型抗單純疱疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=459&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HIV-1 Viral Load,人類免疫不全病毒第1型病毒定量,血漿(EDTA Plasma),"Undetectable Detcection limit：20 cp/mL,1copies=1.67 IU",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=93&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HIV-I antibody (Western blot method),HIV-I 抗體檢查 (西方墨點法),血清(Serum),判讀標準：Negative：無典型顏色帶或無任何顏色帶Indeterminate：1 ENV±GAG±POL；GAG + POL；GAG；POLPositive：2 ENV±GAG± POL,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=444&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HIV-II antibody (Western blot method),HIV-II 抗體檢查 (西方墨點法),血清(Serum),"判讀標準：WHO criteria Positive：any two bands of Env (gp160,gp120 and gp41)",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=445&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HPV screening,人類乳突狀瘤病毒偵測,子宮頸刷(cervical brushings),None Detected,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=184&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
HSV DNA PCR(Qualitative test),單純疱疹病毒去氧核糖核酸定性試驗,腦脊髓液(CSF)、喉頭拭液(Throat Swab)、口腔疱疹抽取液,None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=1&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Influenza A+B Rapid Screening Test,A+B型流感病毒快速篩檢,鼻腔拭子(nasal swab)、鼻咽拭子(Nasopharyngeal)、鼻腔沖洗液(Nasal wash)、鼻腔抽吸液(Nasal aspirate),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=202&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Influenza virus type A RNA PCR (qualitative test),A型流感病毒核醣核酸定性試驗,喉頭拭子(Throat swab)、痰液(Sputum)、Nasopharyngeal Aspirate (NPA),None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=257&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Influenza virus type B RNA PCR (qualitative test),B型流感病毒核醣核酸定性試驗,喉頭拭子(throat swab)、痰液(Sputum)、Nasopharyngeal Aspirate (NPA),None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=258&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Measles virus IgG Ab,免疫球蛋白G型抗麻疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=461&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Measles virus IgM Ab,免疫球蛋白M型抗麻疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=460&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mumps virus IgG Ab,免疫球蛋白G型抗腮腺炎病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=463&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mumps virus IgM Ab,免疫球蛋白M型抗腮腺炎病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=462&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mycoplasma pneumoniae IgG Ab,免疫球蛋白G型抗肺炎黴漿菌抗體,血清(Serum),判讀標準：Negative：<12.0Equivocal：12-18Positive：≧18.0(2015/12/18變更，舊判讀標準：Negative：<10.0；Equivocal：10.1-19.9；Positive：≧20.0),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=464&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mycoplasma pneumoniae IgM Ab,免疫球蛋白M型抗肺炎黴漿菌抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=465&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Norovirus Ag,諾羅病毒抗原,糞便(stool),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=550&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pan-Enteroviruses RNA PCR(qualitative test),不分型腸病毒核醣核酸定性試驗,喉頭拭子(Throat swab) /直腸拭子(rectal swab)、腦脊髓液(CSF),None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=256&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Parainfluenza Ag-1,副流感病毒抗原1型,痰液 (Sputum)、鼻咽抽吸(Nasopharyngeal Aspirate),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=308&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Parainfluenza Ag-2,副流感病毒抗原2型,痰液 (Sputum)、鼻咽抽吸(Nasopharyngeal Aspirate),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=309&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Parainfluenza Ag-3,副流感病毒抗原3型,痰液 (Sputum)、鼻咽抽吸(Nasopharyngeal Aspirate),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=310&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Rotavirus Ag,輪狀病毒抗原,糞便(stool),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=551&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
RSV Ag screening test,呼吸道融合病毒抗原,痰液 (Sputum)、鼻咽抽吸(Nasopharyngeal Aspirate),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=311&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Varicella-Zoster Virus IgG Ab,免疫球蛋白G型抗水痘帶狀泡疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=466&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Varicella-Zoster Virus IgM Ab,免疫球蛋白M型抗水痘帶狀泡疹病毒抗體,血清(Serum),Negative,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=467&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: blood,血液病毒培養,全血(Heparin Whole Blood),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=542&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: cerebrospinal fluid,腦脊髓液病毒培養,腦脊髓液(CSF),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=41&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: cervical swab,子宮頸塗拭病毒培養,子宮頸拭子(cervical swab),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=250&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: conjunctival swab,結膜塗拭病毒培養,結膜拭子(conjunctival swab),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=251&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: nasopharyngeal aspirate,咽喉抽吸病毒培養,鼻咽抽吸(Nasopharyngeal aspirate),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=536&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: rectal swab,直腸塗拭病毒培養,直腸拭子(Rectal swab),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=252&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: stool,糞便病毒培養,糞便(stool),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=297&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: throat swab,咽喉塗拭病毒培養,喉頭拭子(Throat swab),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=253&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: urine,尿液病毒培養,尿液(Urine),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=298&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification: vesibular fluid,皮膚水泡病毒培養,水泡液(vesibular fluid),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=254&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Virus isolation and identification：others,其他病毒培養分離及鑑定,其他(others),No virus  was isolated,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=50&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
VZV DNA PCR(Qualitative test),水痘病毒去氧核糖核酸定性試驗,腦脊髓液(CSF)、 喉頭拭液(Throat Swab)、 口腔疱疹抽取液,None Detected(2016/10/28變更，舊參考值為Negative),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=2&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
