test_ename,test_cname,specimen,reference_range,notes,detail_link
Aerobic & anaerobic  pathogen culture (Aspirate with site),一般嗜氧與厭氧菌培養,膿腫(Abscess),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=262&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture (Biopsy&Tissue),一般嗜氧與厭氧菌培養,組織(Tissue),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=274&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture (Body fluid),一般嗜氧與厭氧菌培養,腦脊髓液(CSF)、胸水(Pleural effusion)、腹水(Ascites)、體液(Body Fluid),No growth,室溫運送；若無法當日送達，請保存於 4℃。(腦脊髓液檢體須盡速送達實驗室接種，不得保存於冰箱),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=8&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture (Intravascular catheter tip),一般嗜氧與厭氧菌培養,導管,No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=9&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture (Pus-discharge),一般嗜氧與厭氧菌培養,外科傷口(Surgical wound)、褥瘡(Bed sore)、燒傷(Burn) 、眼睛(Eye)、皮膚膿(Skin Pus)、引流傷口(Drain wound)、其他分泌物(other discharge),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=263&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture(Drain tube),一般嗜氧與厭氧菌培養,引流管(Drain tube),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=10&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Aerobic & anaerobic  pathogen culture(Drainage),一般嗜氧與厭氧菌培養,引流液(Drainage)、透析液(Dialysis),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=11&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amoeba,阿米巴原蟲檢測,糞便(stool),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=285&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amoebic hemagglutination test(IHA),間接阿米巴血液凝集試驗,血清(Serum),< 1 : 32,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=316&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Amphotericin B,抗黴菌藥物Amphotericin B敏感性試驗,菌種,不適用(N/A),請聯絡細菌組,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=281&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Anal tape,肛門試紙檢查,蟯蟲檢查膠紙片,Not found,,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=203&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Blood Cultures,血液培養,血液(Blood),No growth,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=155&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Blood Cultures and drug susceptibility (for infant and newborn),小兒血液培養,血液(Blood),No growth,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=535&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
C. difficile identification,艱難梭菌培養鑑定檢查,糞便(stool),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=276&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
C. difficile toxin (RT-PCR),艱難梭菌之毒素測定,糞便(stool),Negative,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=286&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
C13 urea breath test,碳13尿素呼氣檢查,氣體(GAS),DOB值≦2.5為negativeDOB值≧4.0為positive,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=249&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Campylobacter identification,彎曲菌培養鑑定檢查,糞便(stool),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=277&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
carbapenem resistant Enterobacteriace,Carbapenem抗藥性腸道菌篩檢,肛門拭子(Anal swab)；原始部位,No CRE,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=264&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Common aerobic pathogen culture,一般嗜氧菌培養,喉頭拭子(Throat swab)、鼻腔拭子(Nasal swab)、及其他(others),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=306&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cryptococcal Ag,隱球菌抗原,血清(Serum),Negative(< 1：2),室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=318&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Cryptosporidium & Isospora,隱孢子蟲與肉孢子蟲檢查,糞便(stool),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=287&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Culture for Acanthamoeba,刺棘阿米巴培養,眼角膜刮取物,No growth,,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=12&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
EIA pneumococcus urine antigen,肺炎鏈球菌細胞抗原免疫酵素檢查,尿液(Urine)、腦脊髓液(CSF),Negative,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=302&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fluconazole,抗黴菌藥物Fluconazole敏感性試驗,菌種,不適用(N/A),請聯絡細菌組,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=282&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Aspirate),黴菌培養,膿腫(Abscess),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=265&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Biopsy&Tissue),黴菌培養,組織(Tissue),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=275&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Blood),血液黴菌培養,血液(Blood),No growth,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=589&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Body fluid),黴菌培養,腦脊髓液(CSF)、胸水(Pleural effusion)、腹水(Ascites)、其它體液,No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=13&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Drain tube),黴菌培養,引流管(Drain tube),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=14&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Drainage),黴菌培養,引流液(Drainage)、透析液(Dialysis),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=15&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Intravascular catheter tip),黴菌培養,導管,No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=16&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Others),黴菌培養,尿液(Urine)、糞便(Stool),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=301&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture (Respiratoy specimen),黴菌培養,痰液 (Sputum)、呼吸道檢體,No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=305&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Fungus culture(Pus-discharge),黴菌培養,外科傷口(Surgical wound)、褥瘡(Bed sore)、燒傷(Burn) 、眼睛(Eye)、皮膚膿(Skin Pus)、引流傷口(Drain wound)、其他分泌物(other discharge),No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=266&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Giardia lamblia,梨形鞭毛蟲,糞便(stool),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=288&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Gram Stain,革蘭氏染色,痰液 (Sputum)、膿瘍(Abscess)、體液(Body fluid)、引流液(Drainage),No bacteria visible,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=307&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Gram Stain(STAT),革蘭氏染色,痰液 (Sputum),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=299&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Group A Streptococcus Culture,A群鏈球菌培養與藥敏試驗,喉頭拭子(Throat swab),No Streptococcus pyogenes,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=267&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Group B Streptococcus Culture,B群鏈球菌培養與藥敏試驗,陰道分泌物,No Group B Streptococcus,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=268&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
IGRA teat(限TB接觸者就醫轉介單),丙型干擾素釋放試驗IGRA檢驗,全血(Heparin Whole Blood),​Negative,室溫送檢(限TB接觸者就醫轉介單),https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=606&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Itraconazole,抗黴菌藥物Itraconazole敏感性試驗,菌種,不適用(N/A),請聯絡細菌組,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=283&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Malaria,瘧原蟲偵測,全血(EDTA Whole Blood),not found,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=121&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
MDRAB screening,MDRAB 篩檢,喉頭拭子(Throat swab)；痰液(Sputum)；原始部位,No MDRAB,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=269&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
MIC determination (E-Test),最低抑菌濃度測定(E－試驗),菌種,不適用(N/A),請聯絡細菌組,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=186&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
MRSA screening,抗藥性金黃色葡萄球菌篩檢,鼻腔拭子(Nasal swab)；原始部位,No MRSA,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=270&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mycobacterium culture(Blood),血液分枝桿菌培養,血液(Blood),No growth,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=588&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Neisseria gonorrhoeae identification + drug susceptibility,淋病雙球菌檢查,尿道分泌物,No Neisseria gonorrhoeae,採檢後立刻放入溫水送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=304&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Paragonimus ova,衛氏肺吸蟲蟲卵檢查,痰液 (Sputum),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=289&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
"Parasite, others",其他寄生蟲檢測,糞便(stool),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=290&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pnemocystis jirovecii(RT-PCR),肺囊蟲去氧核醣核酸定性試驗,痰液 (Sputum),Negative,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=292&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pneumocystis carinii,卡氏肺囊蟲檢測,痰液 (Sputum),not found,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=291&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
QuantiFERON-TB Gold (IGRA),結核菌感染GAMA干擾素診斷試驗,全血(Heparin Whole Blood),​Negative,室溫送檢,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=605&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Rapid test for bacterial antigen(STAT),細菌抗原快速鑑定,腦脊髓液(CSF),Negative,不能將檢體置於冰箱內存放，會造成溫度敏感之病原菌如N.meningitidis之死亡造成結果判讀干擾。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=49&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Sputum culture & Gram stain,痰液培養（含抹片篩檢）,痰液 (Sputum)培養（含抹片篩檢）,No growth,室溫運送；若無法當日送達，請保存於 4℃。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=293&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Sputum: Acid fast stain(STAT),抗酸菌染色,痰液 (Sputum),Negative,,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=300&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
