test_ename,test_cname,specimen,reference_range,notes,detail_link
CSF cytology,腦脊髓液細胞學檢查,腦脊髓液(CSF),不適用(N/A),"避免細胞死亡或變性，腦脊髓液抽出後應儘量於30分鐘內送達檢驗室,若無法立刻送檢時，應放在冰箱4℃保存",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=28&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Imprint bronchial biopsy-CM,支氣管切片捺印抹片細胞學檢查,支氣管切片捺印抹片(Imprint bronchial biopsy-CM),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=169&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Liver aspiration cytology,肝臟細針穿刺細胞學檢查,肝臟細針穿刺抹片或穿刺液體,不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=173&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Liver imprint,肝臟捺印抹片細胞學檢查,肝臟捺印抹片(Liver imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=160&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Lung aspiration cytology,肺臟細針穿刺細胞學檢查,肺臟細針穿刺抹片或穿刺液體(Lung aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=174&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Lung imprint,肺臟捺印抹片細胞學檢查,肺臟捺印抹片(Lung imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=161&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Lymph Node aspiration cytology (Other than Neck),其他淋巴結細針穿刺細胞學檢查,其他淋巴結細針穿刺抹片或穿刺液體(Other Lymph Node aspiration),不適用(N/A),(1)若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(2)請於Site處輸入部位。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=175&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mediastinum aspiration cytology,縱膈腔細針穿刺細胞學檢查,縱膈腔細針穿刺抹片或穿刺液體(Mediastinum aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=176&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Mediastinum imprint,縱膈腔腫塊捺印抹片細胞學檢查,縱膈腔腫塊捺印抹片(Mediastinum imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=162&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Neck Lymph Node aspiration cytology,頸部淋巴結細針穿刺細胞學檢查,頸部淋巴結細針穿刺抹片或穿刺液體(Neck Lymph Node aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=177&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Neck Lymph Node imprint,頸部淋巴結捺印抹片細胞學檢查,頸部淋巴結捺印抹片(Neck Lymph Node imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=163&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Other aspiration cytology,其他檢體細針穿刺細胞學檢查(其他檢體),其他檢體細針穿刺抹片或穿刺液體(Other aspiration),不適用(N/A),(1)若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(2)請於Site處輸入部位。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=178&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Other imprint,其他捺印抹片細胞學檢查,其他捺印抹片(Other imprint),不適用(N/A),請於Site處輸入部位,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=164&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Other Lymph Node imprint,其他淋巴結捺印抹片細胞學檢查,其他淋巴結捺印抹片(Other Lymph Node imprint),不適用(N/A),請於Site處輸入部位,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=165&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Other Tissue Cytology,其他部位細胞學檢查,無相對醫令之其他部位,不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=179&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pancreas aspiration cytology,胰臟細針穿刺細胞學檢查,胰臟細針穿刺抹片或穿刺液體(Pancreas aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=180&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pancreas imprint,胰臟捺印抹片細胞學檢查,胰臟捺印抹片(Pancreas imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=166&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pericardial fluid cytology,心包膜液細胞學檢查,心包膜液(Pericardial fluid),不適用(N/A),(1)抽出後加入總量1/10的3.8% Sodium citrate或少量Heparin液，防止凝固。(2)檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=29&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Peritoneal wash cytology,腹腔沖洗液細胞學檢查,腹腔沖洗液(Peritoneal wash),不適用(N/A),"液體檢體以當天(12小時內)送檢為原則,若未及送檢,請放置於4℃冰箱內暫時保存",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=30&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pleural effusion cytology,胸水細胞學檢查,胸水(Pleural effusion),不適用(N/A),(1)抽出後加入總量1/10的3.8% Sodium citrate或少量Heparin液，防止凝固。(2)檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=31&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Pleural wash cytology,肋膜沖洗液細胞學檢查,肋膜沖洗液(Pleural wash),不適用(N/A),"液體檢體以當天(12小時內)送檢為原則,若未及送檢,請放置於4℃冰箱內暫時保存",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=32&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Renal pelvic wash cytology,腎盂沖洗液細胞學檢查,腎盂沖洗液(Renal pelvic wash),不適用(N/A),(1)以二小時內送達檢驗室為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(2)星期六中午以後及例假日採檢時，請加入等量75%酒精冰存,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=53&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Salivary/ Parotid gland aspiration cytology,唾液腺細針/腮腺細針穿刺細胞學檢查,唾液腺細針/腮腺細針穿刺抹片或穿刺液體(Salivary/ Parotid gland aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=181&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Salivary/ Parotid gland imprint,唾液腺/腮腺 捺印抹片細胞學檢查,唾液腺/腮腺 捺印抹片(Salivary/ Parotid gland imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=167&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Sputum cytology,痰液細胞學檢查,痰液 (Sputum),不適用(N/A),(1)收集清晨第一口痰，請病人用力深咳，把所有的痰咳出。(2)以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(3)星期六中午以後及例假日採檢時，請加入等量75%酒精冰存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=296&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Subcutaneous nodule aspiration cytology,皮下結節細針穿刺細胞學檢查,皮下結節細針穿刺抹片或穿刺液體(Subcutaneous nodule aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=182&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Subcutaneous nodule imprint,皮下腫塊捺印抹片細胞學檢查,皮下腫塊捺印抹片(Subcutaneous nodule imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=168&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Thyroid  imprint,甲狀腺捺印抹片細胞學檢查,甲狀腺捺印抹片(Thyroid  imprint),不適用(N/A),,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=170&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Thyroid aspiration cytology,甲狀腺細針穿刺細胞學檢查,甲狀腺細針穿刺抹片或穿刺液體(Thyroid aspiration),不適用(N/A),若為液體檢體以當天(12小時內)送檢為原則，若未及送檢，請放置於4℃冰箱內暫時保存。,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=183&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Ureteral wash cytology,腎輸尿管沖洗液細胞學檢查,腎輸尿管沖洗液(Ureteral wash),不適用(N/A),(1)以二小時內送達檢驗室為原則，若未及送檢，請放置於4℃冰箱內暫時保存。(2)星期六中午以後及例假日採檢時，請加入等量75%酒精冰存,https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=54&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
Urine cytology,尿液細胞學檢查,尿液(Urine),不適用(N/A),"(1)早晨的第一次尿不適合做細胞學檢查，需採集中段尿，以二小時內送達檢驗室為原則，若未及送檢,請放置於4℃冰箱內暫時保存。(2)非自然排解之尿液檢體，需註明收集方式。(3)星期六中午以後及例假日採檢時，請加入等量75%酒精冰存。",https://www.ntuh.gov.tw/labmed/檢驗目錄/_layouts/15/listform.aspx?PageType=4&ListId=%7B11AB63BC%2D9633%2D4E26%2DB6D1%2D9DFC995D6A1F%7D&ID=55&ContentTypeID=0x01003E4C6DCCAFBEF64BACFA9B88DBDEF416
